iter	Passed	Remaining
0	1	125
1	2	114
2	3	107
3	4	118
4	6	123
5	7	120
6	8	119
7	9	114
8	10	110
9	11	107
10	12	104
11	13	102
12	14	99
13	15	97
14	16	95
15	17	93
16	19	96
17	21	96
18	22	95
19	23	93
20	24	91
21	25	89
22	26	87
23	27	85
24	28	84
25	28	82
26	29	80
27	30	79
28	31	77
29	32	76
30	34	77
31	36	76
32	37	75
33	38	74
34	39	72
35	40	71
36	41	69
37	41	68
38	42	67
39	43	65
40	44	64
41	45	62
42	45	60
43	46	59
44	47	58
45	50	58
46	51	57
47	52	57
48	53	55
49	54	54
50	55	53
51	56	52
52	57	50
53	58	49
54	58	48
55	59	46
56	60	45
57	61	44
58	62	43
59	64	43
60	65	42
61	66	41
62	67	39
63	68	38
64	69	37
65	70	36
66	71	35
67	72	34
68	73	33
69	74	31
70	75	30
71	76	29
72	77	28
73	79	27
74	80	26
75	81	25
76	82	24
77	83	23
78	84	22
79	85	21
80	86	20
81	87	19
82	88	18
83	89	17
84	90	15
85	91	14
86	92	13
87	94	12
88	95	11
89	96	10
90	96	9
91	97	8
92	98	7
93	99	6
94	100	5
95	101	4
96	102	3
97	103	2
98	104	1
99	105	0
